ObjectType	ObjectName	ParentName	ExtraInfo	DateCaptured
Column	End Dt4	tbl_200_Ojt	Type=7, Size=0	15-Dec-25
Column	End Dt5	tbl_200_Ojt	Type=7, Size=0	15-Dec-25
Column	Enrl Dt	tbl_200_Ojt	Type=7, Size=0	15-Dec-25
Column	Enrl Dt2	tbl_200_Ojt	Type=7, Size=0	15-Dec-25
Column	Enrl Dt3	tbl_200_Ojt	Type=7, Size=0	15-Dec-25
Column	Enrl Dt4	tbl_200_Ojt	Type=7, Size=0	15-Dec-25
Column	Enrl Dt5	tbl_200_Ojt	Type=7, Size=0	15-Dec-25
Column	Name	tbl_200_Ojt	Type=202, Size=255	15-Dec-25
Column	Off Sym	tbl_200_Ojt	Type=202, Size=255	15-Dec-25
Column	PAFSC	tbl_200_Ojt	Type=202, Size=255	15-Dec-25
Column	PAS	tbl_200_Ojt	Type=202, Size=255	15-Dec-25
Column	Proj PAS	tbl_200_Ojt	Type=202, Size=255	15-Dec-25
Column	Proj Rank	tbl_200_Ojt	Type=202, Size=255	15-Dec-25
Column	Rank	tbl_200_Ojt	Type=202, Size=255	15-Dec-25
Column	Ret Eff Dt	tbl_200_Ojt	Type=7, Size=0	15-Dec-25
Column	RNLTD	tbl_200_Ojt	Type=7, Size=0	15-Dec-25
Column	SSAN	tbl_200_Ojt	Type=202, Size=255	15-Dec-25
Column	Time In Tng	tbl_200_Ojt	Type=5, Size=0	15-Dec-25
Column	Tng	tbl_200_Ojt	Type=202, Size=255	15-Dec-25
Column	Unit	tbl_200_Ojt	Type=202, Size=255	15-Dec-25
Table	tbl_300_Umd			15-Dec-25
Column	AFSC or Duty Title	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	API	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	AUTH AFSC	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	AUTH AFSC Prefix	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	CAT	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	CEC	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	CMG	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	CPD	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	CRMK1	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	CRMK2	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	CRMK3	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	CRMK4	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	CWR PL1	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	CWR PL2	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	CWR PL3	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	CWR1	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	CWR2	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	CWR3	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	DFC	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	DTY	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	FAC	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	FCT	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	FIC	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	FIC Title	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	FMC	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	FY26	tbl_300_Umd	Type=5, Size=0	15-Dec-25
Column	FY27	tbl_300_Umd	Type=5, Size=0	15-Dec-25
Column	FY28	tbl_300_Umd	Type=5, Size=0	15-Dec-25
Column	FY29	tbl_300_Umd	Type=5, Size=0	15-Dec-25
Column	FY30	tbl_300_Umd	Type=5, Size=0	15-Dec-25
Column	GRD	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	IGCA RSN	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	LRMK1	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	LRMK2	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	MilTECH	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	MNT	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	MPF	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	MSI	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	OCC	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	OSC	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	OSC LEADER	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	PART_A/B	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	PAS	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	PEC	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	PEC Title	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	PNC	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	POS	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	POS EFF DATE	tbl_300_Umd	Type=5, Size=0	15-Dec-25
Column	POS THRU DATE	tbl_300_Umd	Type=5, Size=0	15-Dec-25
Column	PULL_DATE	tbl_300_Umd	Type=7, Size=0	15-Dec-25
Column	RAFSC Prefix	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	REQ AFSC	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	RGR	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	RIC	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	RMK1	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	RMK2	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	SAR	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	SEI	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Column	UNIT TITLE	tbl_300_Umd	Type=202, Size=255	15-Dec-25
Table	tbl_400_MyLUsers			15-Dec-25
Column	Edipi	tbl_400_MyLUsers	Type=5, Size=0	15-Dec-25
Column	Email address	tbl_400_MyLUsers	Type=202, Size=255	15-Dec-25
Column	Last Access	tbl_400_MyLUsers	Type=202, Size=255	15-Dec-25
Column	MAJCOM	tbl_400_MyLUsers	Type=202, Size=255	15-Dec-25
Column	PASCODE	tbl_400_MyLUsers	Type=202, Size=255	15-Dec-25
Form	frm_000_Data_Import			15-Dec-25
